2016	236.916	237.111	238.132	239.261	240.229	241.018	240.628	240.849	241.428	241.729	241.353	241.432	240.008
2015	233.707	234.722	236.119	236.599	237.805	238.638	238.654	238.316	237.945	237.838	237.336	236.525	237.017
2014	233.916	234.781	236.293	237.072	237.900	238.343	238.250	237.852	238.031	237.433	236.151	234.812	236.736
2013	230.280	232.166	232.773	232.531	232.945	233.504	233.596	233.877	234.149	233.546	233.069	233.049	232.957
2012	226.665	227.663	229.392	230.085	229.815	229.478	229.104	230.379	231.407	231.317	230.221	229.601	229.594
2011	220.223	221.309	223.467	224.906	225.964	225.722	225.922	226.545	226.889	226.421	226.230	225.672	224.939
2010	216.687	216.741	217.631	218.009	218.178	217.965	218.011	218.312	218.439	218.711	218.803	219.179	218.056
2009	211.143	212.193	212.709	213.240	213.856	215.693	215.351	215.834	215.969	216.177	216.330	215.949	214.537
2008	211.080	211.693	213.528	214.823	216.632	218.815	219.964	219.086	218.783	216.573	212.425	210.228	215.303
2007	202.416	203.499	205.352	206.686	207.949	208.352	208.299	207.917	208.490	208.936	210.177	210.036	207.342
2006	198.300	198.700	199.800	201.500	202.500	202.900	203.500	203.900	202.900	201.800	201.500	201.800	201.600
2005	190.700	191.800	193.300	194.600	194.400	194.500	195.400	196.400	198.800	199.200	197.600	196.800	195.300
2004	185.200	186.200	187.400	188.000	189.100	189.700	189.400	189.500	189.900	190.900	191.000	190.300	188.900
2003	181.700	183.100	184.200	183.800	183.500	183.700	183.900	184.600	185.200	185.000	184.500	184.300	183.960
2002	177.100	177.800	178.800	179.800	179.800	179.900	180.100	180.700	181.000	181.300	181.300	180.900	179.880
2001	175.100	175.800	176.200	176.900	177.700	178.000	177.500	177.500	178.300	177.700	177.400	176.700	177.100
2000	168.800	169.800	171.200	171.300	171.500	172.400	172.800	172.800	173.700	174.000	174.100	174.000	172.200
1999	164.300	164.500	165.000	166.200	166.200	166.200	166.700	167.100	167.900	168.200	168.300	168.300	166.600
1998	161.600	161.900	162.200	162.500	162.800	163.000	163.200	163.400	163.600	164.000	164.000	163.900	163.000
1997	159.100	159.600	160.000	160.200	160.100	160.300	160.500	160.800	161.200	161.600	161.500	161.300	160.500
1996	154.400	154.900	155.700	156.300	156.600	156.700	157.000	157.300	157.800	158.300	158.600	158.600	156.900
1995	150.300	150.900	151.400	151.900	152.200	152.500	152.500	152.900	153.200	153.700	153.600	153.500	152.400
1994	146.200	146.700	147.200	147.400	147.500	148.000	148.400	149.000	149.400	149.500	149.700	149.700	148.200
1993	142.600	143.100	143.600	144.000	144.200	144.400	144.400	144.800	145.100	145.700	145.800	145.800	144.500
1992	138.100	138.600	139.300	139.500	139.700	140.200	140.500	140.900	141.300	141.800	142.000	141.900	140.300
1991	134.600	134.800	135.000	135.200	135.600	136.000	136.200	136.600	137.200	137.400	137.800	137.900	136.200
1990	127.400	128.000	128.700	128.900	129.200	129.900	130.400	131.600	132.700	133.500	133.800	133.800	130.700
1989	121.100	121.600	122.300	123.100	123.800	124.100	124.400	124.600	125.000	125.600	125.900	126.100	124.000
1988	115.700	116.000	116.500	117.100	117.500	118.000	118.500	119.000	119.800	120.200	120.300	120.500	118.300
1987	111.200	111.600	112.100	112.700	113.100	113.500	113.800	114.400	115.000	115.300	115.400	115.400	113.600
1986	109.600	109.300	108.800	108.600	108.900	109.500	109.500	109.700	110.200	110.300	110.400	110.500	109.600
1985	105.500	106.000	106.400	106.900	107.300	107.600	107.800	108.000	108.300	108.700	109.000	109.300	107.600
1984	101.900	102.400	102.600	103.100	103.400	103.700	104.100	104.500	105.000	105.300	105.300	105.300	103.900
1983	97.800	97.900	97.900	98.600	99.200	99.500	99.900	100.200	100.700	101.000	101.200	101.300	99.600
1982	94.300	94.600	94.500	94.900	95.800	97.000	97.500	97.700	97.900	98.200	98.000	97.600	96.500
1981	87.000	87.900	88.500	89.100	89.800	90.600	91.600	92.300	93.200	93.400	93.700	94.000	90.900
1980	77.800	78.900	80.100	81.000	81.800	82.700	82.700	83.300	84.000	84.800	85.500	86.300	82.400
1979	68.300	69.100	69.800	70.600	71.500	72.300	73.100	73.800	74.600	75.200	75.900	76.700	72.600
1978	62.500	62.900	63.400	63.900	64.500	65.200	65.700	66.000	66.500	67.100	67.400	67.700	65.200
1977	58.500	59.100	59.500	60.000	60.300	60.700	61.000	61.200	61.400	61.600	61.900	62.100	60.600
1976	55.600	55.800	55.900	56.100	56.500	56.800	57.100	57.400	57.600	57.900	58.000	58.200	56.900
1975	52.100	52.500	52.700	52.900	53.200	53.600	54.200	54.300	54.600	54.900	55.300	55.500	53.800
1974	46.600	47.200	47.800	48.000	48.600	49.000	49.400	50.000	50.600	51.100	51.500	51.900	49.300
1973	42.600	42.900	43.300	43.600	43.900	44.200	44.300	45.100	45.200	45.600	45.900	46.200	44.400
1972	41.100	41.300	41.400	41.500	41.600	41.700	41.900	42.000	42.100	42.300	42.400	42.500	41.800
1971	39.800	39.900	40.000	40.100	40.300	40.600	40.700	40.800	40.800	40.900	40.900	41.100	40.500
1970	37.800	38.000	38.200	38.500	38.600	38.800	39.000	39.000	39.200	39.400	39.600	39.800	38.800
1969	35.600	35.800	36.100	36.300	36.400	36.600	36.800	37.000	37.100	37.300	37.500	37.700	36.700
1968	34.100	34.200	34.300	34.400	34.500	34.700	34.900	35.000	35.100	35.300	35.400	35.500	34.800
1967	32.900	32.900	33.000	33.100	33.200	33.300	33.400	33.500	33.600	33.700	33.800	33.900	33.400
1966	31.800	32.000	32.100	32.300	32.300	32.400	32.500	32.700	32.700	32.900	32.900	32.900	32.400
1965	31.200	31.200	31.300	31.400	31.400	31.600	31.600	31.600	31.600	31.700	31.700	31.800	31.500
1964	30.900	30.900	30.900	30.900	30.900	31.000	31.100	31.000	31.100	31.100	31.200	31.200	31.000
1963	30.400	30.400	30.500	30.500	30.500	30.600	30.700	30.700	30.700	30.800	30.800	30.900	30.600
1962	30.000	30.100	30.100	30.200	30.200	30.200	30.300	30.300	30.400	30.400	30.400	30.400	30.200
1961	29.800	29.800	29.800	29.800	29.800	29.800	30.000	29.900	30.000	30.000	30.000	30.000	29.900
1960	29.300	29.400	29.400	29.500	29.500	29.600	29.600	29.600	29.600	29.800	29.800	29.800	29.600
1959	29.000	28.900	28.900	29.000	29.000	29.100	29.200	29.200	29.300	29.400	29.400	29.400	29.100
1958	28.600	28.600	28.800	28.900	28.900	28.900	29.000	28.900	28.900	28.900	29.000	28.900	28.900
1957	27.600	27.700	27.800	27.900	28.000	28.100	28.300	28.300	28.300	28.300	28.400	28.400	28.100
1956	26.800	26.800	26.800	26.900	27.000	27.200	27.400	27.300	27.400	27.500	27.500	27.600	27.200
1955	26.700	26.700	26.700	26.700	26.700	26.700	26.800	26.800	26.900	26.900	26.900	26.800	26.800
1954	26.900	26.900	26.900	26.800	26.900	26.900	26.900	26.900	26.800	26.800	26.800	26.700	26.900
1953	26.600	26.500	26.600	26.600	26.700	26.800	26.800	26.900	26.900	27.000	26.900	26.900	26.700
1952	26.500	26.300	26.300	26.400	26.400	26.500	26.700	26.700	26.700	26.700	26.700	26.700	26.500
1951	25.400	25.700	25.800	25.800	25.900	25.900	25.900	25.900	26.100	26.200	26.400	26.500	26.000
1950	23.500	23.500	23.600	23.600	23.700	23.800	24.100	24.300	24.400	24.600	24.700	25.000	24.100
